Year,SeedSource,JD Rounded,date (:Date),Hc (K)
1974,Low,-71,1974-10-22,-5.6
1974,Low,-40,1974-11-22,-18
1974,Low,1,1975-01-02,-23.5
1974,Low,20,1975-01-21,-23.5
1974,Low,61,1975-03-03,-21.4
1974,Low,77,1975-03-19,-15
1974,Low,104,1975-04-15,-8.8
1976,Low,-100,1976-09-23,-5.5
1976,Low,-90,1976-10-03,-5.2
1976,Low,-86,1976-10-07,-5.7
1976,Low,-75,1976-10-18,-5.7
1976,Low,-60,1976-11-04,-8.9
1976,Low,-39,1976-11-23,-15.4
1976,Low,-15,1976-12-17,-23.6
1976,Low,2,1977-01-03,-24.1
1976,Low,10,1977-01-11,-26.2
1976,Low,36,1977-02-06,-24.8
1976,Low,48,1977-02-18,-23.6
1976,Low,61,1977-03-02,-20.2
1976,Low,75,1977-03-16,-19.8
1977,Low,-81,1977-10-12,-6.1
1977,Low,-67,1977-10-26,-9.2
1977,Low,-53,1977-11-09,-14
1977,Low,-26,1977-12-06,-24.2
1977,Low,1,1977-01-02,-24
1977,Low,8,1978-01-09,-24
1977,Low,24,1978-01-25,-25.9
1977,Low,53,1978-02-21,-21.8
1977,Low,74,1978-03-16,-18.2
1977,Low,86,1978-03-28,-11.4
